id,btc_to_usd_rate,eth_to_usd_rate,ltc_to_usd_rate,data_date,ts
493,13571.51,382.77,54.11,31/10/2020,18:22.7
494,15482.89,454.61,60.98,9/11/2020,18:24.1
495,15599.95,456.69,63.35,7/11/2020,18:24.1
496,14834.09,435.59,58.68,8/11/2020,18:24.1
497,15315.46,450.89,57.99,11/11/2020,18:24.1
498,15608.06,417.29,59.02,6/11/2020,18:24.1
499,15705.79,463.75,59.33,12/11/2020,18:25.2
500,15342.1,444.84,59.29,10/11/2020,18:25.3
501,16082.01,461.21,63.89,15/11/2020,18:26.3
502,16339.6,478,66.34,14/11/2020,18:26.3
503,16310.81,462.91,60.74,13/11/2020,18:26.3
504,16726.49,460.05,73.82,17/11/2020,18:51.1
505,17790.18,479,73.49,19/11/2020,18:51.6
506,18437.18,560.78,82.95,23/11/2020,18:52.9
507,15970,448.6,62.16,16/11/2020,18:53.5
508,18677.84,510.6,82.65,21/11/2020,18:54.1
509,17821.92,471.92,81.61,20/11/2020,18:54.7
510,17679.86,482.75,76.37,18/11/2020,18:54.7
511,17155.43,519.04,69.24,28/11/2020,18:55.3
512,18384.82,609.26,89.13,24/11/2020,18:55.3
513,19172.9,606.49,89.35,25/11/2020,18:55.4
514,18717.24,569.19,81.7,26/11/2020,18:55.6
515,18721.21,553.06,87.23,22/11/2020,18:55.9
516,17169.99,520.35,71.12,27/11/2020,18:56.0
517,17736.1,537.97,72.75,29/11/2020,18:56.0
518,19713.94,617,87.69,1/12/2020,18:57.0
519,18201.47,576.9,79.01,30/11/2020,18:57.0
520,19446.43,616.46,89.04,4/12/2020,19:23.4
521,18778.18,585.87,85.18,2/12/2020,19:23.9
522,19222.45,597.03,88.96,3/12/2020,19:23.9
523,19432.57,603.4,83.58,7/12/2020,19:24.5
524,18316.22,554.8,76.7,9/12/2020,19:24.9
525,19158.96,597.29,83.18,6/12/2020,19:25.0
526,18658.09,567.76,79.54,5/12/2020,19:25.7
527,19177.08,591.53,83.44,8/12/2020,19:25.8
528,18293.08,560.62,75.09,11/12/2020,19:25.8
529,18556.42,575.62,77.64,10/12/2020,19:26.1
530,18821.28,568.64,76.67,13/12/2020,19:26.4
531,19166.65,590.45,82.2,14/12/2020,19:26.8
532,18023.57,543.22,72.02,12/12/2020,19:26.8
533,21360.5,637.91,92.94,17/12/2020,19:28.0
534,19443.19,589.08,81.4,16/12/2020,19:28.0
535,19272.37,586.4,82.4,15/12/2020,19:28.0
536,23476.51,638.19,114.65,21/12/2020,19:53.8
537,22729.4,608.07,104.49,22/12/2020,19:53.9
538,22826.37,643.26,101.06,18/12/2020,19:53.9
539,23824.13,636.73,114.28,23/12/2020,19:54.0
540,23138.89,654.66,109.45,19/12/2020,19:54.0
541,23850,658.8,120.04,20/12/2020,19:54.1
542,23226.18,585.37,102.46,24/12/2020,19:54.6
543,26482.64,636.85,129.56,27/12/2020,19:56.6
544,24704.71,626.71,127.8,26/12/2020,19:56.6
545,28897.42,752.87,130.09,31/12/2020,19:56.7
546,23718.61,612.25,111.17,25/12/2020,19:56.7
547,26086.19,680.9,126.21,28/12/2020,19:56.7
548,27039.39,729.65,129.67,29/12/2020,19:56.8
549,28990.08,737.89,124.42,1/1/2021,19:56.9
550,27366.35,731.79,128.7,30/12/2020,19:57.0
551,29413.29,730.97,126.53,2/1/2021,19:57.8
552,32222.88,775.29,137.1,3/1/2021,20:22.0
553,32020.22,1042.24,155.48,5/1/2021,20:22.6
554,33082.84,980.44,161.44,4/1/2021,20:22.6
555,34043.91,1103.71,159.01,6/1/2021,20:23.0
556,40642.15,1217.31,172.46,9/1/2021,20:23.4
557,39510.55,1227.55,169.75,8/1/2021,20:23.5
558,36859.26,1212.68,169.45,7/1/2021,20:23.9
559,40257.43,1281.25,177.9,10/1/2021,20:23.9
560,38273.88,1260.24,170.72,11/1/2021,20:24.6
561,34035.53,1050.46,133.36,13/1/2021,20:25.2
562,39123.05,1231.59,152.38,15/1/2021,20:25.5
563,35456.89,1088.55,139.35,12/1/2021,20:25.6
564,36754.6,1169.04,143.75,16/1/2021,20:25.7
565,36004.8,1227.76,143.58,17/1/2021,20:26.8
566,37393.67,1130.79,147.55,14/1/2021,20:26.8
567,35820.01,1232.6,142.76,18/1/2021,20:28.0
568,36624.23,1258.55,151.81,19/1/2021,20:53.2
569,35628.24,1390,150.35,21/1/2021,20:53.4
570,30855.9,1110.61,129.65,22/1/2021,20:54.2
571,32982.66,1233.42,137.75,23/1/2021,20:54.3
572,35921.91,1367.7,151.89,20/1/2021,20:54.7
573,32110,1221.66,137.78,24/1/2021,20:54.7
574,32584.62,1375.91,135.13,27/1/2021,20:55.5
575,32293.18,1394.04,141.17,25/1/2021,20:55.5
576,30414.11,1240.62,122.7,28/1/2021,20:56.1
577,32260.52,1317.98,137.06,26/1/2021,20:56.1
578,33137.75,1313.95,129.61,1/2/2021,20:56.4
579,34315.63,1380,133.53,31/1/2021,20:56.4
580,34262.11,1380.04,134.88,30/1/2021,20:56.4
581,33487.92,1333.61,133.73,29/1/2021,20:57.0
582,35513,1513.85,142.12,3/2/2021,20:57.1
583,33450,1374.55,131.84,2/2/2021,20:57.1
584,36976.59,1597.34,145.25,5/2/2021,21:23.5
585,37688.42,1668.71,156.31,4/2/2021,21:23.7
586,39266.1,1679.76,155.98,7/2/2021,21:24.2
587,46453.66,1752.98,167.6,9/2/2021,21:24.5
588,38871.43,1615.51,151.03,8/2/2021,21:24.6
589,44850,1742.51,181.73,11/2/2021,21:25.1
590,46514.73,1771.91,181.79,10/2/2021,21:25.1
591,47408.34,1844.78,197.2,13/2/2021,21:25.8
592,38250,1721.06,155.18,6/2/2021,21:25.9
593,47993.6,1787.33,183.71,12/2/2021,21:26.2
594,47240.75,1817.85,226.47,14/2/2021,21:26.2
595,48667.23,1803.25,213.92,15/2/2021,21:26.5
596,47935.66,1780.59,208.1,16/2/2021,21:26.5
597,49141.43,1782.14,210.17,17/2/2021,21:27.3
598,52170.01,1851.47,239.11,18/2/2021,21:27.3
599,51596,1939.64,226.69,19/2/2021,21:28.6
600,55921.44,1915.01,227.04,21/2/2021,21:54.1
601,49737.81,1625.27,181.59,25/2/2021,21:54.7
602,55983.57,1957.9,236.68,20/2/2021,21:54.7
603,54206.22,1783.22,208.94,23/2/2021,21:54.8
604,48899.99,1577.84,177.5,24/2/2021,21:55.2
605,57577.69,1938.95,227.72,22/2/2021,21:55.2
606,46319.79,1445.09,170.27,27/2/2021,21:55.3
607,47063.9,1482.05,179.4,26/2/2021,21:55.6
608,49635.3,1571.87,176.08,2/3/2021,21:55.7
609,45231.74,1421.8,165.58,1/3/2021,21:55.7
610,46169.92,1460.49,171.97,28/2/2021,21:56.2
611,48502.18,1488.34,179.27,3/3/2021,21:56.7
612,50370.33,1568.4,187.62,4/3/2021,21:57.0
613,48766.01,1528.82,180.36,6/3/2021,21:58.2
614,48370.97,1539.53,180.59,5/3/2021,21:58.2
615,48909.83,1651.75,182.88,7/3/2021,21:58.2
616,50976.22,1727.95,190.83,8/3/2021,22:23.5
617,57220.84,1766.76,220.83,13/3/2021,22:24.3
618,52413.17,1834.88,191.91,9/3/2021,22:24.3
619,58065.92,1841.96,201.47,12/3/2021,22:24.4
620,55888.7,1795.55,200.32,11/3/2021,22:26.3
621,54921.61,1871.93,204.02,10/3/2021,22:26.4
622,61181.38,1921.76,226.1,14/3/2021,22:26.4
623,58972.71,1848.56,214.02,15/3/2021,22:26.5
624,57644.95,1776.4,199.74,19/3/2021,22:26.5
625,56924.26,1805.7,201.67,17/3/2021,22:26.5
626,55629.08,1794.08,200.65,16/3/2021,22:26.6
627,58925.54,1824.45,206.1,18/3/2021,22:26.6
628,58026.91,1808.95,199.88,20/3/2021,22:27.0
629,58126.34,1806.04,200.16,21/3/2021,22:27.8
630,57377.29,1784.11,195.62,22/3/2021,22:27.9
631,54111.49,1681.4,185.73,23/3/2021,22:28.0
632,54333.27,1668.37,185.85,24/3/2021,22:54.0
633,52259.69,1581.97,175.95,25/3/2021,22:54.7
634,55856.54,1713.96,184.11,28/3/2021,22:55.1
635,55080.9,1699.97,183.71,27/3/2021,22:55.2
636,51250,1586.81,171.47,26/3/2021,22:55.3
637,55781.22,1686.92,184.24,29/3/2021,22:55.7
638,57613.76,1815.73,193.68,30/3/2021,22:56.0
639,58800.01,1919.99,196.9,1/4/2021,22:56.3
640,58786.46,1841.03,195.74,31/3/2021,22:56.4
641,58726.47,1968.74,202.74,2/4/2021,22:57.1
642,58981.04,2139.33,211.4,3/4/2021,22:57.4
643,58216.73,2076.31,202.26,5/4/2021,22:57.5
644,57094.34,1980,191.9,4/4/2021,22:57.5
645,59134.07,2107.45,221.42,6/4/2021,22:57.7
646,55962.67,1964.69,219.2,8/4/2021,22:58.8
647,58021.67,2113.55,237.23,7/4/2021,22:58.8
648,58092.68,2066.5,221.12,10/4/2021,23:24.4
649,58083.1,2081.29,226.17,9/4/2021,23:25.1
650,59983.66,2150.54,252.31,12/4/2021,23:25.2
651,63588.22,2300.01,267.77,14/4/2021,23:25.8
652,59799.01,2135.9,244.33,13/4/2021,23:25.8
653,62971.8,2432.16,278.75,15/4/2021,23:26.2
654,59778.59,2133.07,256.25,11/4/2021,23:26.3
655,56273.65,2241.67,274.13,19/4/2021,23:27.0
656,61427.27,2426.64,308.86,17/4/2021,23:27.1
657,60067.2,2319.11,305.33,18/4/2021,23:27.4
658,63229.04,2517.03,286.18,16/4/2021,23:27.7
659,56477.67,2332.18,260.87,21/4/2021,23:27.9
660,55696.83,2163.69,261.7,20/4/2021,23:28.0
661,53795.62,2357.74,257.84,22/4/2021,23:28.0
662,51695.98,2399.21,252.74,23/4/2021,23:28.2
663,51260.61,2371.18,241.79,24/4/2021,23:29.2
664,50101.42,2216.18,225.28,25/4/2021,23:55.0
665,54047.8,2533.99,247.6,27/4/2021,23:55.4
666,48817.62,2306.03,221.25,26/4/2021,23:55.5
667,54889.81,2751.56,258.79,29/4/2021,23:55.9
668,53580,2758.92,255.5,30/4/2021,23:56.1
669,55069.61,2667.86,259.99,28/4/2021,23:56.6
670,56625.21,2952.08,268.64,3/5/2021,23:57.2
671,57247.24,3433.99,294.91,4/5/2021,23:57.2
672,57972.26,2948.92,277.64,2/5/2021,23:57.3
673,57798.77,2776.76,271.6,1/5/2021,23:57.4
674,52913.02,3201.33,300.98,5/5/2021,23:58.2
675,56444.82,3492.33,354.52,7/5/2021,23:58.3
676,57515.69,3529.96,356.5,6/5/2021,23:58.3
677,57380.39,3484.69,345.27,8/5/2021,23:58.3
678,58958.06,3917.26,347.75,9/5/2021,23:58.3
679,58313.84,3928.41,388.13,10/5/2021,23:58.5
680,49682.28,3695,318.3,14/5/2021,24:26.3
681,55866.38,3949.45,359.35,11/5/2021,24:26.5
682,46000,3525.62,310.9,13/5/2021,24:26.8
683,49893.48,4080.51,326.52,15/5/2021,24:28.5
684,56753.19,4179.77,378.16,12/5/2021,24:28.6
685,40623.24,2775.06,211.15,21/5/2021,24:28.6
686,46646.15,3590,296.76,17/5/2021,24:28.9
687,36735.44,2443.91,186.65,20/5/2021,24:28.9
688,37476.84,2296.68,169.47,23/5/2021,24:28.9
689,37333.09,2434.86,180.33,22/5/2021,24:28.9
690,46771.01,3648.16,300.11,16/5/2021,24:29.0
691,42865.05,3376.98,294.13,19/5/2021,24:29.0
692,43571.89,3241.06,278.49,18/5/2021,24:29.2
693,34758.88,2100.07,142.73,24/5/2021,24:29.4
694,38874.53,2651.57,185.56,25/5/2021,24:29.4
695,38361.81,2707.75,183.95,26/5/2021,24:30.2
696,39293.23,2893.96,199.26,27/5/2021,24:54.7
697,38556.88,2745.25,194.42,28/5/2021,24:55.2
698,35680.48,2413.28,177.48,29/5/2021,24:55.3
699,34627.81,2280.78,164.15,30/5/2021,24:55.8
700,35669.44,2387.65,170.63,31/5/2021,24:55.9
701,36684.99,2634.46,183,2/6/2021,24:56.2
702,37276.23,2707.87,188.05,1/6/2021,24:56.3
703,37581.83,2706.87,187.19,3/6/2021,24:56.8
704,39291.24,2859.85,193.8,4/6/2021,24:56.8
705,33402.13,2509.1,160.73,9/6/2021,24:58.1
706,33567.26,2592.47,161.98,8/6/2021,24:58.1
707,35800.48,2710.97,176.38,7/6/2021,24:58.1
708,36856.53,2691.13,178.62,5/6/2021,24:58.1
709,35539.97,2629.45,171.82,6/6/2021,24:58.2
710,37404.75,2625,172.69,10/6/2021,24:58.2
711,36694.91,2471.59,168.46,11/6/2021,24:59.2
712,37340.08,2355.11,162.88,12/6/2021,25:25.4
713,40158.06,2543.57,175.2,16/6/2021,25:27.4
714,39159.62,2477.33,166.99,14/6/2021,25:27.5
715,38103.94,2373.33,167.18,18/6/2021,25:27.6
716,40537.93,2582.45,179.98,15/6/2021,25:27.6
717,35557.32,2371.85,161.86,13/6/2021,25:27.6
718,38351,2368.24,166.58,17/6/2021,25:27.7
719,35840.96,2234.8,156.44,19/6/2021,25:27.7
720,31609.82,1885.49,124.4,22/6/2021,25:29.3
721,33688.51,1968.36,129.22,24/6/2021,25:29.3
722,35741.54,2259.1,155.45,21/6/2021,25:29.3
723,35484.8,2165.13,152.58,20/6/2021,25:29.3
724,32538.9,1881.24,119.78,23/6/2021,25:29.4
725,34654.87,1988.81,134.54,25/6/2021,25:29.5
726,32267.59,1829,126.76,27/6/2021,25:30.9
727,31594.62,1809.07,124.97,26/6/2021,25:30.9
728,34708.53,1984.84,132.64,28/6/2021,25:56.8
729,35906.17,2165.64,144.19,30/6/2021,25:57.4
730,33510.93,2107.75,137.04,2/7/2021,25:58.2
731,34493.22,2074.53,137.71,29/6/2021,25:58.7
732,34685.03,2227.46,140.22,4/7/2021,25:59.3
733,33805.01,2156,136.9,3/7/2021,26:00.4
734,35066.54,2277.44,144.43,1/7/2021,26:00.5
735,33697.78,2195.02,137.82,6/7/2021,26:00.7
736,34225.72,2322.2,138.88,7/7/2021,26:00.7
737,33934.62,2325.46,137.47,8/7/2021,26:00.9
738,35290.82,2324.44,145,5/7/2021,26:00.9
739,32875.95,2116.3,132.12,9/7/2021,26:01.2
740,33515.35,2110.56,134.03,11/7/2021,26:01.7
741,33824.25,2147.38,134.61,10/7/2021,26:02.8
742,34259.22,2141.45,134.29,12/7/2021,26:02.8
743,33077.43,2030.74,133.37,13/7/2021,26:02.8
744,32734.14,1940.34,131.43,14/7/2021,26:26.6
745,31872.49,1918.99,125.92,16/7/2021,26:27.3
746,31786.37,1891.46,119.2,19/7/2021,26:27.8
747,31533.9,1899.75,120.04,18/7/2021,26:28.4
748,32152.68,1996.21,117.77,22/7/2021,26:29.0
749,31389.57,1877.22,120.71,17/7/2021,26:29.0
750,32815.75,1994.12,131.02,15/7/2021,26:29.4
751,29796.15,1786.51,107.3,21/7/2021,26:29.8
752,32287.75,2024.75,120.74,23/7/2021,26:30.0
753,33647.27,2125.82,124.3,24/7/2021,26:30.0
754,30842.04,1818.45,113.2,20/7/2021,26:30.2
755,34291.67,2186.76,126.09,25/7/2021,26:30.4
756,37262.76,2228.71,131.09,27/7/2021,26:30.4
757,40035.1,2300.76,140.48,29/7/2021,26:31.5
758,35251.54,2172.99,127.03,26/7/2021,26:31.5
759,39475.99,2300.28,134.75,28/7/2021,26:31.5
760,42414.61,2463.88,145.61,31/7/2021,26:57.3
761,41499,2511.5,144.46,1/8/2021,26:57.3
762,39859.18,2555.99,140.31,2/8/2021,26:57.9
763,39149.59,2608.12,141.35,3/8/2021,26:57.9
764,40039.44,2383.47,141.57,30/7/2021,26:58.7
765,39718.9,2724.71,142.54,5/8/2021,26:58.7
766,38189.4,2508.16,138.47,4/8/2021,26:58.8
767,40888.73,2829.49,143.6,6/8/2021,26:59.4
768,42869.59,2892.83,148.06,7/8/2021,26:59.7
769,43829.15,3014.12,149.81,9/8/2021,27:00.6
770,46280,3162.33,166.31,10/8/2021,27:00.7
771,44628.11,3163.09,156.06,8/8/2021,27:00.8
772,45601.82,3142.18,165.45,11/8/2021,27:00.9
773,44422.15,3047.21,165.53,13/8/2021,27:02.0
774,47833.64,3324.51,183.43,14/8/2021,27:02.0
775,45553.1,3162.16,170.72,12/8/2021,27:02.0
776,47014.38,3311.02,184.76,16/8/2021,27:26.8
777,45903.22,3146.6,177.93,17/8/2021,27:27.5
778,47109.64,3266.52,182.92,15/8/2021,27:28.0
779,44709.1,3014.38,166.58,19/8/2021,27:28.0
780,46769.02,3178.65,175.57,20/8/2021,27:28.5
781,49349.99,3286.82,183.7,21/8/2021,27:28.8
782,44675.34,3011.77,168.55,18/8/2021,27:28.9
783,48870.21,3226.38,179.72,22/8/2021,27:29.2
784,49284.38,3241.41,185.97,23/8/2021,27:29.2
785,49504.53,3322.76,186.97,24/8/2021,27:29.6
786,48991.57,3228.51,177.78,26/8/2021,27:29.8
787,47682.45,3170.94,173.4,25/8/2021,27:29.9
788,49081.08,3290.51,177.15,28/8/2021,27:30.6
789,48802.58,3226.45,174.48,30/8/2021,27:30.6
790,46851.47,3092.71,167.71,27/8/2021,27:30.6
791,48942.89,3247.99,175.78,29/8/2021,27:31.8
792,46996.8,3229.02,167.39,31/8/2021,27:58.3
793,47110.33,3430,171.6,1/9/2021,27:58.5
794,49279.38,3788.2,183.46,3/9/2021,27:59.0
795,48834.27,3838.28,180.86,2/9/2021,27:59.0
796,49944.89,3887.58,212.17,5/9/2021,27:59.7
797,51789.17,3951.68,232.41,6/9/2021,27:59.8
798,52698.8,3928.72,219.47,7/9/2021,28:00.3
799,50025,3940.06,213.29,4/9/2021,28:00.4
800,46894.49,3436.75,178.54,8/9/2021,28:00.5
801,46396.26,3424.32,180.45,10/9/2021,28:00.6
802,46059.94,3499.54,179.8,9/9/2021,28:00.7
803,45173.66,3266.97,178.59,12/9/2021,28:01.1
804,44730.29,3199.88,174.12,11/9/2021,28:01.3
805,46027.8,3403.81,183.01,13/9/2021,28:01.4
806,44953.23,3285.66,179.4,14/9/2021,28:01.6
807,47127.81,3436.29,183.13,15/9/2021,28:02.7
808,47753.15,3568.77,185.33,17/9/2021,28:28.1
809,48144.03,3615.68,189.26,16/9/2021,28:28.3
810,47306.87,3400,180,18/9/2021,28:28.9
811,48379.19,3436.59,181.72,19/9/2021,28:29.0
812,43007.69,2976.36,157.16,21/9/2021,28:29.3
813,40736.81,2765.33,148.59,22/9/2021,28:29.5
814,47358.92,3346.58,176.13,20/9/2021,28:29.8
815,44896.55,3154.42,163.89,24/9/2021,28:30.2
816,43575.19,3078.42,161.45,23/9/2021,28:30.8
817,42166.31,2926.27,145.07,28/9/2021,28:31.1
818,42848.44,2930.59,152.27,25/9/2021,28:31.1
819,42705.51,2923.91,151.01,26/9/2021,28:31.6
820,41030.19,2805.64,140.55,29/9/2021,28:31.6
821,41519.11,2849.71,144.76,30/9/2021,28:31.8
822,43172.17,3059.92,150.67,27/9/2021,28:31.8
823,43828.89,3001.14,153.32,1/10/2021,28:31.9
824,47663.74,3388.67,168.99,3/10/2021,28:59.3
825,48233.99,3419.63,170.59,4/10/2021,28:59.3
826,51499.77,3517.26,173.81,6/10/2021,28:59.3
827,53805.46,3588.83,178.65,8/10/2021,28:59.3
828,48165.76,3311.2,166.28,2/10/2021,28:59.3
829,49244.13,3386.9,167.57,5/10/2021,28:59.3
830,55356.85,3576.45,178.5,7/10/2021,28:59.4
831,53965.18,3563.96,175.97,9/10/2021,29:00.8
832,57367.32,3608.43,177.69,14/10/2021,29:01.0
833,56005.1,3490.17,172.62,13/10/2021,29:01.0
834,54411.54,3373.45,172.41,11/10/2021,29:01.0
835,57485.97,3542.2,179.22,12/10/2021,29:01.1
836,54963.29,3575.2,179.99,10/10/2021,29:01.1
837,57359.51,3791.06,181.47,15/10/2021,29:01.3
838,60867.05,3829.7,186,17/10/2021,29:02.6
839,61690.32,3869.73,189.62,16/10/2021,29:02.6
840,62042.4,3745.13,185.59,19/10/2021,29:28.5
841,64303.14,3878.35,188.73,20/10/2021,29:29.2
842,66021.26,4161.83,207.33,21/10/2021,29:29.2
843,62204.01,4053.97,196.82,22/10/2021,29:29.7
844,61300.02,4168.53,196.35,24/10/2021,29:29.7
845,60847.91,4082.09,190.39,25/10/2021,29:30.2
846,63081.96,4221.16,195.47,26/10/2021,29:30.8
847,60333.19,4132.19,197.56,27/10/2021,29:31.2
848,58462.73,3925.26,179.27,28/10/2021,29:31.6
849,60682.88,3971.89,190.99,23/10/2021,29:31.7
850,60591.63,4288.25,189.94,29/10/2021,29:31.7
851,61896.38,4325.55,190.34,31/10/2021,29:32.7
852,60956.4,4322.89,197.7,2/11/2021,29:32.7
853,62379.2,4435,197.38,30/10/2021,29:32.7
854,61346.17,4290.31,192.01,1/11/2021,29:32.8
855,61444.49,4537.14,202.78,5/11/2021,29:59.7
856,63266.5,4594.27,201.07,3/11/2021,29:59.8
857,62935.4,4606.07,207.33,4/11/2021,29:59.8
858,61006.14,4479.47,199.07,6/11/2021,29:59.8
859,63309.12,4616.5,202.18,8/11/2021,30:01.5
860,64912.2,4632.23,260.17,11/11/2021,30:01.5
861,67554.13,4811.89,229.12,9/11/2021,30:01.6
862,61539.3,4523.73,197.8,7/11/2021,30:01.6
863,64807.73,4721.07,262.3,12/11/2021,30:01.7
864,66933.06,4718.06,258.63,10/11/2021,30:02.0
865,63624.6,4564.98,263.2,16/11/2021,30:03.2
866,60101.56,4209.89,230.48,17/11/2021,30:03.2
867,65505.03,4626.61,279.39,15/11/2021,30:03.2
868,64400.01,4644.43,257.74,14/11/2021,30:03.2
869,64144.42,4667.79,251.23,13/11/2021,30:03.2
870,56898.46,3998.57,204.15,19/11/2021,30:28.2
871,59760.76,4416.36,227.01,21/11/2021,30:28.8
872,60351.51,4289.4,229.64,18/11/2021,30:29.3
873,58671.22,4263.04,221.96,22/11/2021,30:29.4
874,58122.15,4299.55,218.12,20/11/2021,30:29.4
875,57607.97,4341.58,216.28,24/11/2021,30:29.8
876,56280.81,4089.17,209.13,23/11/2021,30:31.3
877,53757.67,4043.62,195.76,27/11/2021,30:31.3
878,57158.58,4270.93,212.21,25/11/2021,30:31.3
879,54759.04,4098.53,195.24,28/11/2021,30:31.3
880,58994.72,4527.03,223.13,26/11/2021,30:31.4
881,57838.06,4449.42,205.81,30/11/2021,30:31.6
882,57318.51,4298.38,199.68,29/11/2021,30:31.6
883,56998.35,4636.43,208.01,1/12/2021,30:32.4
884,57226.51,4586.87,208.97,2/12/2021,30:32.4
885,49235.26,4123.13,162.91,5/12/2021,30:59.1
886,49484.21,4203.22,156.6,6/12/2021,30:59.2
887,56521.45,4514.54,203.52,3/12/2021,30:59.7
888,53633.02,4216.3,188.1,4/12/2021,31:00.2
889,50625.24,4310.21,162.08,8/12/2021,31:00.3
890,50529.56,4354.09,161.65,7/12/2021,31:00.7
891,49424.47,4091.17,158.17,12/12/2021,31:01.1
892,50520.94,4440.94,165.24,9/12/2021,31:01.4
893,50089.64,4132.91,159.04,13/12/2021,31:01.4
894,47568.43,4105.99,151.44,10/12/2021,31:01.7
895,47170.94,3899.97,148.45,11/12/2021,31:01.9
896,48878.83,4021.41,153.62,16/12/2021,31:02.1
897,46300,3778,143,14/12/2021,31:02.3
898,47634.2,3957.12,148.86,17/12/2021,31:02.4
899,48359.23,3860.72,150.45,15/12/2021,31:02.6
900,46857.49,3961.93,148.75,19/12/2021,31:30.0
901,46926.07,3946.59,152.71,21/12/2021,31:30.5
902,46159.87,3876.37,143.99,18/12/2021,31:30.9
903,46687.2,3925.78,153.32,20/12/2021,31:31.3
904,50842.06,4113.64,163.8,24/12/2021,31:31.4
905,48608.61,3980.82,155.4,23/12/2021,31:31.5
906,48914.7,4017.35,154.8,22/12/2021,31:31.9
907,50428.31,4098.67,157.99,26/12/2021,31:32.2
908,50804.33,4066.14,155.97,27/12/2021,31:32.2
909,50852.31,4021.31,161.36,25/12/2021,31:32.4
910,50720.35,4038.68,155.96,28/12/2021,31:32.5
911,46471.24,3630.18,145.56,30/12/2021,31:33.0
912,47122.09,3710.01,147.97,31/12/2021,31:33.2
913,47542.2,3793.66,145.71,29/12/2021,31:33.2
914,46205,3675.81,146.12,1/1/2022,31:34.0
915,47733.43,3765.98,150.79,2/1/2022,31:59.2
916,45817.13,3785,146.45,5/1/2022,32:00.1
917,47299.06,3828.93,151.18,3/1/2022,32:00.5
918,46459.57,3766.01,148.44,4/1/2022,32:00.6
919,41684.84,3080.92,129.45,9/1/2022,32:01.1
920,43144.72,3415.52,136.53,7/1/2022,32:01.1
921,41876.52,3151.65,130.87,10/1/2022,32:01.5
922,41564.57,3198.96,131.33,8/1/2022,32:02.9
923,43921.21,3373.25,142.37,13/1/2022,32:02.9
924,43446.34,3539,135.35,6/1/2022,32:02.9
925,43090.72,3309.98,144.84,15/1/2022,32:02.9
926,41824.06,3083.51,126.51,11/1/2022,32:03.0
927,42749.84,3240.83,131.67,12/1/2022,32:03.0
928,42576.27,3241.6,135.96,14/1/2022,32:03.0
929,43098.2,3327.81,147.75,16/1/2022,32:04.3
930,42372.15,3160.78,141.53,19/1/2022,32:31.5
931,36835.93,2568.12,114.51,22/1/2022,32:32.0
932,42214.66,3211.08,151.2,18/1/2022,32:32.1
933,43104.34,3349.88,146.46,17/1/2022,32:32.1
934,41672.14,3084.49,136.35,20/1/2022,32:32.1
935,40671.77,3000.99,129.73,21/1/2022,32:32.6
936,35075.7,2411.91,108.49,23/1/2022,32:32.7
937,36687.58,2441.6,109.6,25/1/2022,32:32.9
938,36275.28,2541.74,112.32,24/1/2022,32:33.0
939,36980,2460.4,107.86,26/1/2022,32:33.4
940,36846.22,2464.99,107.09,27/1/2022,32:33.6
941,37741.9,2546.84,109.49,29/1/2022,32:34.9
942,37188.37,2425.01,106.88,28/1/2022,32:34.9
943,37904.99,2602.63,108.61,31/1/2022,32:34.9
944,38189.82,2603.39,110.85,30/1/2022,32:34.9
945,38714.27,2789.62,115.18,2/2/2022,33:01.8
946,38492.53,2675.99,109.5,1/2/2022,33:02.0
947,36923.39,2683.09,108.33,3/2/2022,33:02.8
948,41411.59,3014.83,121.81,6/2/2022,33:03.3
949,41613.75,2997.63,121.47,5/2/2022,33:03.5
950,37324.61,2697.59,111.03,4/2/2022,33:03.6
951,42416.06,3058.21,127.69,7/2/2022,33:04.0
952,44087.58,3119.91,133.81,9/2/2022,33:04.9
953,43868.08,3141.84,137.47,8/2/2022,33:05.2
954,44416.39,3246.28,140.13,10/2/2022,33:05.2
955,42386.47,2929.09,125.66,12/2/2022,33:05.5
956,43521.88,3074.84,134.6,11/2/2022,33:05.7
957,42244.91,2919.86,126.78,13/2/2022,33:05.9
958,42073.37,2872.83,125.68,14/2/2022,33:06.6
959,42548.71,2931.17,124.62,15/2/2022,33:06.6
960,43895.55,3124.44,127.8,17/2/2022,33:31.8
961,39993.64,2780.05,114.88,19/2/2022,33:32.5
962,44585.69,3186.24,131.87,16/2/2022,33:32.5
963,40537.94,2894.52,116.47,18/2/2022,33:32.9
964,40146.07,2765.24,115.79,20/2/2022,33:33.1
965,37022.11,2569.6,102.79,22/2/2022,33:33.5
966,38395.99,2622.47,110.7,21/2/2022,33:33.8
967,38251.67,2638.2,107.51,23/2/2022,33:34.2
968,37268.18,2580.54,105.41,24/2/2022,33:34.6
969,39242.71,2769.24,109.35,26/2/2022,33:34.9
970,39146.97,2780.76,108.31,27/2/2022,33:35.2
971,37716.57,2617.79,103.05,28/2/2022,33:35.5
972,43189.61,2922.87,113.81,1/3/2022,33:35.8
973,38347.3,2597.39,104.25,25/2/2022,33:35.8
974,44440,2977.72,112.72,2/3/2022,33:37.0
975,39166.5,2623.08,101.04,5/3/2022,34:07.4
976,43916.47,2948.58,110.4,3/3/2022,34:07.6
977,42524.87,2835.95,111.76,4/3/2022,34:08.5
978,39407.87,2665.94,104.91,6/3/2022,34:10.5
